#{"t_start": 1625225319.7446883, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.06511
-1143.119155,1000,2.134007
-1247.080482,1000,3.143402
-1342.597029,1000,4.130344
-1223.700469,1000,5.143826
-1454.851774,1000,6.151531
-1216.596965,1000,7.167634
-1070.317227,1000,8.200292
-1152.0094,1000,9.213362
-1133.423199,1000,10.221964
-1262.642024,1000,44.002181
-1249.890297,1000,76.578856
-1540.243734,1000,110.065082
-1622.066672,1000,141.626453
-1123.549323,1000,175.28499
-1527.058947,1000,207.203053
-1207.808578,1000,241.740045
-1192.171587,1000,275.260927
-526.786153,1000,306.741214
182.889767,1000,340.031691
66.457508,1000,383.812203
332.810361,1000,415.118635
-499.742278,1000,448.345135
-937.297748,1000,479.91038
93.05255,1000,513.358509
410.194034,1000,546.820199
332.310686,1000,578.402344
231.387178,1000,611.699963
365.077536,1000,645.224398
381.031126,1000,676.534992
240.753343,1000,720.875464
530.333275,1000,752.411726
-569.298683,1000,786.035748
195.79363,1000,819.39496
393.81066,1000,850.722898
181.602391,1000,884.052788
-171.105169,1000,917.171069
237.194272,1000,948.529874
308.175409,1000,981.926799
577.931402,1000,1013.380746
-20.109429,1000,1056.713487
495.920688,1000,1090.113595
88.108349,1000,1121.396819
-858.761165,1000,1154.809292
-84.88343,1000,1188.000833
480.239674,1000,1219.35655
460.100522,1000,1252.533467
468.592571,1000,1284.11791
235.937819,1000,1317.576888
396.965599,1000,1350.538081
-452.895583,1000,1392.000856
391.022148,1000,1425.103801
393.319939,1000,1458.560031
24.289577,1000,1489.974256
260.626872,1000,1523.907288
-345.6892,1000,1555.382098
-353.722639,1000,1588.728948
555.995534,1000,1621.966994
-330.798466,1000,1653.273847
-484.30399,1000,1685.211323
285.643749,1000,1729.996326
290.335515,1000,1761.260401
6.238038,1000,1794.395436
417.058473,1000,1825.453254
556.253582,1000,1858.501317
529.785949,1000,1891.632132
472.998093,1000,1922.763735
283.594521,1000,1955.710531
396.893258,1000,1988.857726
423.589285,1000,2019.013068
-344.124504,1000,2064.253513
624.17133,1000,2095.100442
104.192138,1000,2128.354381
742.275335,1000,2161.681881
600.985969,1000,2193.32006
461.102588,1000,2226.88743
715.484312,1000,2260.938202
711.734213,1000,2292.749243
476.969617,1000,2326.895922
595.384748,1000,2357.754576
772.804281,1000,2403.819516
769.689857,1000,2438.360847
702.750357,1000,2470.911799
735.819221,1000,2505.450897
788.943013,1000,2540.023408
831.763787,1000,2572.729379
776.782412,1000,2607.605677
785.881546,1000,2640.635394
717.646726,1000,2675.927181
760.479956,1000,2710.220557
766.855764,1000,2754.78627
486.083413,1000,2790.401795
829.193972,1000,2825.907094
762.985021,1000,2859.522098
-638.111352,1000,2895.389221
861.783932,1000,2928.773883
538.67198,1000,2964.550268
-141.507665,1000,3000.262266
278.982324,1000,3033.005791
560.808385,1000,3068.807137
621.336564,1000,3115.912104
607.609572,1000,3149.317107
581.038208,1000,3185.03171
731.682207,1000,3218.343849
662.186959,1000,3254.003298
825.14991,1000,3289.574054
799.966334,1000,3322.96428
729.179724,1000,3358.357111
793.62294,1000,3393.43636
652.790577,1000,3427.021116
986.320565,1000,3474.40439
884.236539,1000,3507.749876
652.618316,1000,3543.318575
1079.542027,1000,3579.563059
674.357084,1000,3615.393291
994.706834,1000,3653.652339
975.448944,1000,3691.853207
996.469449,1000,3727.548775
840.640692,1000,3766.030662
957.358192,1000,3802.185474
743.911596,1000,3852.678652
752.259357,1000,3891.243267
832.181791,1000,3927.100351
1065.527451,1000,3965.386727
855.061498,1000,4003.710165
5.412523,1000,4039.866583
478.78696,1000,4078.117158
1049.203292,1000,4113.908776
782.159215,1000,4152.033287
839.486768,1000,4190.366462
1002.290844,1000,4238.533529
1267.248097,1000,4276.573919
781.110462,1000,4314.707078
1085.747201,1000,4350.551364
1476.542312,1000,4388.668613
1444.362674,1000,4424.885825
576.777013,1000,4463.113814
603.735792,1000,4501.45851
1188.31536,1000,4537.395941
1356.019004,1000,4575.671899
1119.184419,1000,4626.18461
984.674034,1000,4662.171029
1451.354729,1000,4700.313711
1485.304539,1000,4736.364577
1514.314075,1000,4774.492961
1501.226221,1000,4812.794485
1609.992162,1000,4848.658219
1503.862206,1000,4886.766302
1346.833969,1000,4925.128484
1589.926655,1000,4961.169212
1394.188699,1000,5011.563806
1562.595644,1000,5047.607262
1479.05479,1000,5085.987628
1333.059584,1000,5124.401522
1731.253795,1000,5160.186055
1263.087622,1000,5198.317208
1413.836767,1000,5236.493838
1132.232632,1000,5272.429871
1292.059572,1000,5310.633533
1605.678431,1000,5346.461437
1516.944097,1000,5396.972808
1646.852588,1000,5435.300635
1818.399741,1000,5471.068746
1710.504015,1000,5509.408181
1696.723472,1000,5547.299244
1824.56331,1000,5583.042236
1570.692494,1000,5621.158287
1949.091007,1000,5656.935094
1761.258995,1000,5694.869727
1767.436728,1000,5732.991105
1793.014134,1000,5781.31058
1824.940186,1000,5819.753986
1716.385811,1000,5858.667034
1660.0635,1000,5894.742956
1701.930683,1000,5933.496376
1569.395193,1000,5969.671024
1782.520443,1000,6008.155566
1831.439422,1000,6046.709066
1792.087494,1000,6082.8326
1819.736927,1000,6121.343645
1756.089242,1000,6172.659538
1854.501123,1000,6208.810758
1853.128916,1000,6247.135076
1744.445476,1000,6283.23177
1708.257078,1000,6321.516778
1621.923569,1000,6359.944164
1848.907115,1000,6396.269033
1810.872558,1000,6434.632981
1956.467743,1000,6473.117955
1913.9056,1000,6509.355121
1752.433069,1000,6560.231545
1839.11726,1000,6596.204593
1662.274423,1000,6634.492784
1872.747379,1000,6673.004294
1945.330434,1000,6709.488554
1980.289356,1000,6748.068111
1995.590913,1000,6786.669151
1953.756659,1000,6822.925553
1733.629788,1000,6861.49373
1941.543314,1000,6897.662132
1857.389171,1000,6948.605
1788.299157,1000,6986.947469
1861.221606,1000,7023.235833
1963.921738,1000,7061.732541
1926.657097,1000,7100.307839
1967.30098,1000,7136.710949
1924.989375,1000,7174.882989
1913.530304,1000,7210.83674
1902.121599,1000,7249.387931
1914.887264,1000,7287.75272
2158.979634,1000,7336.320075
1945.239018,1000,7374.761106
2156.980094,1000,7412.911345
2164.505844,1000,7448.900009
1962.383141,1000,7487.149739
2099.66415,1000,7523.313656
2051.779272,1000,7561.783627
1873.024687,1000,7600.091558
1855.43942,1000,7636.268203
2047.078221,1000,7674.554817
1997.767528,1000,7725.371459
2066.524725,1000,7761.388761
2126.81864,1000,7799.702433
1989.855893,1000,7835.852844
1916.36853,1000,7874.293559
2137.544447,1000,7912.659497
2085.656388,1000,7948.78985
2071.516168,1000,7987.286085
2031.210911,1000,8025.808035
1985.594814,1000,8061.969022
1963.146496,1000,8112.645953
1814.065898,1000,8148.785076
2035.629009,1000,8187.156071
2057.811757,1000,8225.58778
1980.027969,1000,8262.039963
1974.434377,1000,8300.434574
2056.283375,1000,8338.896209
2122.186108,1000,8374.947641
2006.158014,1000,8413.346359
2110.014499,1000,8449.482062
2087.335181,1000,8500.17215
2061.987906,1000,8538.577254
2098.753886,1000,8574.689782
2181.668024,1000,8613.34682
2141.792334,1000,8651.817719
2138.90289,1000,8688.263501
2149.483929,1000,8726.571182
2023.158343,1000,8762.708416
1893.885786,1000,8801.562926
2055.454802,1000,8840.014416
2142.782351,1000,8888.020646
2170.521662,1000,8926.3016
2110.991192,1000,8964.535617
2077.718091,1000,9000.395351
2166.049313,1000,9038.721749
2106.739308,1000,9074.731854
2162.474956,1000,9113.379253
2131.999907,1000,9151.738168
2091.621951,1000,9187.680821
2205.415791,1000,9226.287372
2132.519199,1000,9276.783833
2316.09898,1000,9312.698586
2017.392475,1000,9350.806543
2113.014056,1000,9386.909871
2196.225582,1000,9425.105714
2192.249512,1000,9463.434206
2138.808175,1000,9499.519234
2044.911812,1000,9537.802184
2263.379632,1000,9575.932213
2114.311841,1000,9611.936236
2221.098616,1000,9661.946242
2130.909087,1000,9698.152661
2065.50949,1000,9736.420645
2115.541389,1000,9774.742311
2160.420714,1000,9810.904896
2063.442415,1000,9849.17037
2196.934886,1000,9887.49531
2138.965833,1000,9923.364932
2070.263096,1000,9961.508908
2013.92655,1000,9997.745655
2191.904821,1000,10048.901048
2210.32343,1000,10087.506546
2210.612129,1000,10123.659417
2204.360058,1000,10162.035623
2218.017168,1000,10200.383593
2409.247568,1000,10236.350327
2144.073265,1000,10274.701804
2365.507358,1000,10311.271558
2231.873761,1000,10349.503654
2231.098476,1000,10387.951872
2265.317943,1000,10436.220801
2221.150734,1000,10474.898818
2203.68798,1000,10513.265126
2208.288823,1000,10549.537476
2275.08566,1000,10588.211138
2056.834177,1000,10624.477262
2345.463092,1000,10662.941688
2039.954258,1000,10701.368891
2309.29004,1000,10737.603138
2249.365653,1000,10775.981339
2186.558239,1000,10826.566091
2201.090869,1000,10863.074898
2286.171969,1000,10901.654552
2285.714936,1000,10937.844418
1975.126077,1000,10976.141742
2149.951206,1000,11014.417598
2256.202648,1000,11050.321024
2130.4589,1000,11088.73233
2207.133578,1000,11127.17798
2239.996561,1000,11163.164595
2401.097498,1000,11213.752871
2272.642225,1000,11249.707736
2311.35692,1000,11288.11992
2184.248039,1000,11326.521379
2439.170314,1000,11362.492634
2300.473767,1000,11400.722191
1568.069839,1000,11439.186225
2302.907882,1000,11475.133811
2099.208982,1000,11513.44096
2216.741376,1000,11549.4961
2303.730667,1000,11600.010627
2271.369402,1000,11638.399249
2205.249147,1000,11674.594642
2260.378529,1000,11713.19669
2295.903198,1000,11751.483235
2316.612573,1000,11787.599378
2264.826837,1000,11825.753945
2343.669315,1000,11862.10532
2378.783153,1000,11900.32039
2377.717439,1000,11938.771158
2305.478258,1000,11987.598689
2168.970766,1000,12025.959259
2299.348066,1000,12064.229181
2363.895541,1000,12100.297641
2361.48169,1000,12138.905864
2387.205746,1000,12174.875421
2320.692557,1000,12213.320647
2252.186259,1000,12251.93485
2299.430451,1000,12288.179088
2290.367504,1000,12326.562515
2363.022663,1000,12377.642056
2423.579679,1000,12413.71909
2414.216638,1000,12452.198789
2264.903626,1000,12488.166862
2344.813903,1000,12526.620439
2397.72628,1000,12564.975273
2267.290517,1000,12600.894974
2299.905186,1000,12639.39292
2213.385514,1000,12677.678493
2346.499888,1000,12713.930878
2402.49274,1000,12764.710561
2401.222219,1000,12800.841526
2388.100268,1000,12839.166097
2360.65092,1000,12877.688142
2355.802023,1000,12913.812853
2427.331576,1000,12952.345263
2339.254596,1000,12990.88484
2409.516651,1000,13027.008961
2383.498605,1000,13065.547233
2370.435019,1000,13102.042622
2417.883625,1000,13152.777202
2315.679862,1000,13191.602945
2361.079615,1000,13228.000766
2460.485242,1000,13266.431376
2442.977072,1000,13305.365208
2376.410551,1000,13342.02327
2496.56948,1000,13380.860308
2344.585372,1000,13417.211301
2467.918134,1000,13456.015146
2466.501445,1000,13494.475945
2386.661413,1000,13542.666742
2447.114785,1000,13581.080781
2383.656122,1000,13619.842403
2434.608095,1000,13656.18973
2342.225801,1000,13694.857451
2344.150279,1000,13731.233986
2292.786933,1000,13770.135077
2312.582217,1000,13809.059636
2275.32277,1000,13845.486135
2216.429211,1000,13884.187521
2386.715724,1000,13934.900883
2461.186231,1000,13971.204761
2345.107578,1000,14009.737516
2395.977856,1000,14046.050838
2433.278322,1000,14084.494021
2375.209879,1000,14122.847642
2260.797809,1000,14159.190267
2391.570118,1000,14197.413421
2358.648627,1000,14235.912099
2441.925053,1000,14272.112093
2321.828383,1000,14322.513981
2428.750712,1000,14358.604553
2359.065414,1000,14397.19611
2353.542012,1000,14435.648889
2432.376002,1000,14472.123801
2449.764589,1000,14510.902498
2318.394528,1000,14549.876767
2452.464553,1000,14586.305142
2461.952349,1000,14625.377154
2479.890386,1000,14661.843507
2359.603128,1000,14712.261829
2393.395052,1000,14751.103178
2381.030625,1000,14787.708066
2464.253044,1000,14826.821459
2437.913253,1000,14865.880522
2505.70885,1000,14902.722728
2435.516484,1000,14941.668383
2445.679787,1000,14978.335817
2463.434112,1000,15017.322701
2421.392819,1000,15055.919798
2423.491905,1000,15105.302113
2465.437754,1000,15144.035718
2445.140419,1000,15183.170505
2386.617239,1000,15220.091255
2399.971641,1000,15259.480144
2356.875396,1000,15297.667431
2438.657768,1000,15336.818444
2462.803112,1000,15375.628232
2456.965306,1000,15412.529318
2384.040224,1000,15451.933302
2452.211181,1000,15503.133564
2412.026742,1000,15540.004319
2466.916748,1000,15579.106201
2512.548926,1000,15616.103541
2458.60081,1000,15655.302415
2426.065517,1000,15694.554537
2487.208088,1000,15731.35566
2428.651306,1000,15770.363925
2521.844394,1000,15809.368331
2299.658236,1000,15846.188637
2375.307886,1000,15897.373817
2505.739553,1000,15934.052779
2410.846455,1000,15973.152977
2589.460427,1000,16012.088271
2392.492333,1000,16048.688395
2364.478187,1000,16087.670187
2448.360412,1000,16126.655938
2436.112691,1000,16163.60267
2449.055108,1000,16202.757624
2473.3256,1000,16239.747946
2457.315367,1000,16291.024693
2528.527106,1000,16330.405728
2549.759154,1000,16367.412212
2534.325667,1000,16406.633588
2511.469119,1000,16445.925036
2497.845538,1000,16483.080945
2514.4106,1000,16522.368028
2502.173052,1000,16559.32763
2487.905062,1000,16598.660211
2542.813105,1000,16637.829293
2516.163994,1000,16687.288081
2503.123488,1000,16726.484558
2423.674957,1000,16765.608883
2493.629885,1000,16802.478162
2442.904502,1000,16841.675865
2401.412172,1000,16878.575304
2471.46984,1000,16917.750458
2366.725868,1000,16956.876566
2420.686989,1000,16993.753846
2432.248659,1000,17033.138347
2558.167207,1000,17084.626337
2493.052254,1000,17121.835295
2512.792727,1000,17161.013601
2451.11551,1000,17198.192685
2504.288885,1000,17237.310181
2557.939102,1000,17276.307145
2364.916612,1000,17313.174845
2628.060629,1000,17352.410955
2500.580514,1000,17391.608914
2489.801147,1000,17428.58792
2561.081443,1000,17479.683417
2557.376032,1000,17516.779927
2461.677085,1000,17555.883919
2541.549094,1000,17594.899678
2577.581911,1000,17631.695506
2477.676807,1000,17670.836773
2504.160992,1000,17709.725546
2410.338048,1000,17746.382274
2595.827128,1000,17785.520937
2536.3049,1000,17822.317045
2351.232956,1000,17873.58364
2562.632155,1000,17912.874681
2530.66562,1000,17949.833312
2410.470462,1000,17988.916084
2584.844251,1000,18028.290769
2525.841372,1000,18065.21916
2542.508935,1000,18104.387477
2441.733294,1000,18141.274572
2469.960986,1000,18180.503608
2497.106601,1000,18219.690465
2553.188374,1000,18269.052561
2376.38679,1000,18308.16636
2469.07462,1000,18347.440702
2418.970182,1000,18384.272404
2530.698288,1000,18423.536401
2568.733302,1000,18460.57149
2506.643106,1000,18499.993768
2436.458896,1000,18539.389287
2352.014757,1000,18576.502572
2445.113992,1000,18615.646066
2451.821008,1000,18667.307387
2284.363267,1000,18704.378531
2360.432132,1000,18743.497529
2409.329808,1000,18780.375855
2273.631571,1000,18819.823309
2445.985718,1000,18858.860967
