#{"t_start": 1624046243.2479126, "env_id": "HalfCheetahBulletEnv-v0"}
r,l,t
-1069.305457,1000,1.06246
-1143.119155,1000,2.058386
-1247.080482,1000,3.044555
-1342.597029,1000,4.00866
-1223.700469,1000,4.981558
-1454.851774,1000,5.945201
-1216.596965,1000,7.016938
-1070.317227,1000,8.020951
-1152.0094,1000,8.994682
-1133.423199,1000,9.970484
-1238.87887,1000,46.36525
-954.164833,1000,74.84531
-613.622832,1000,103.264033
-152.701377,1000,129.953017
-669.891759,1000,158.322443
191.428024,1000,185.034158
94.45589,1000,213.454854
-49.380154,1000,241.64176
61.563814,1000,268.056971
-158.514503,1000,296.302778
441.042374,1000,333.529027
502.825166,1000,360.160607
-933.300857,1000,388.262519
511.617805,1000,414.836378
255.847835,1000,442.941761
481.633113,1000,471.255815
-368.014986,1000,497.812259
539.215223,1000,526.128307
432.090586,1000,554.414888
439.793634,1000,581.144938
568.243759,1000,618.315053
538.511201,1000,645.139637
500.879021,1000,673.496588
420.118204,1000,701.845689
604.594792,1000,728.515549
692.469598,1000,756.835251
411.287616,1000,785.2615
677.729728,1000,811.91108
553.154061,1000,840.237933
639.159417,1000,866.879104
638.373303,1000,904.103807
669.895416,1000,932.354117
711.199888,1000,959.168841
721.208695,1000,987.57077
680.734887,1000,1016.029428
708.587734,1000,1042.677457
675.229939,1000,1071.152856
605.480991,1000,1097.996958
712.901241,1000,1126.47418
715.257976,1000,1154.776235
702.570814,1000,1190.218128
645.73595,1000,1218.729865
617.160866,1000,1247.136928
696.721235,1000,1273.749527
524.229648,1000,1302.313982
750.847119,1000,1328.963827
609.132779,1000,1357.239584
668.614935,1000,1385.874159
738.086076,1000,1412.573692
755.702467,1000,1441.063359
645.392025,1000,1478.044154
799.598572,1000,1504.753026
617.875706,1000,1533.256397
699.333608,1000,1559.960598
762.231155,1000,1588.281805
731.944575,1000,1616.833117
772.139496,1000,1643.470334
821.769755,1000,1671.987351
878.852523,1000,1700.334098
781.733812,1000,1727.149419
786.082665,1000,1764.135725
858.905061,1000,1790.909326
819.409629,1000,1819.34575
869.889643,1000,1847.778445
842.662901,1000,1874.497396
720.84298,1000,1903.149755
924.179677,1000,1936.499979
736.826018,1000,1963.644065
766.657134,1000,1992.533425
787.442448,1000,2019.834256
783.297073,1000,2057.479257
795.308704,1000,2086.367494
967.643168,1000,2113.792252
957.322142,1000,2142.91812
951.032786,1000,2172.082809
792.11534,1000,2199.626346
764.049746,1000,2228.827872
113.497403,1000,2256.206826
1033.07109,1000,2285.35283
1141.943126,1000,2314.417273
995.248785,1000,2350.717239
1119.010965,1000,2379.597724
1034.23181,1000,2408.858888
1143.989822,1000,2436.307277
1113.62379,1000,2465.575255
1272.341366,1000,2493.149127
1090.523386,1000,2522.470113
1041.911492,1000,2551.708736
1085.222986,1000,2579.285259
1343.012842,1000,2608.517524
1320.242181,1000,2646.677648
1263.162042,1000,2673.900038
1198.337464,1000,2703.115302
1149.559274,1000,2730.624346
984.191672,1000,2759.991543
1247.356675,1000,2789.28202
1325.071168,1000,2816.929106
1326.811202,1000,2846.116795
1296.349648,1000,2875.325474
1364.338162,1000,2902.811836
1240.183371,1000,2940.847481
1356.994282,1000,2968.306618
1375.849213,1000,2997.235048
1459.320829,1000,3026.325832
1146.159003,1000,3053.776695
1340.887152,1000,3082.863987
1382.503984,1000,3112.194308
1219.352233,1000,3139.610261
1374.416374,1000,3168.877181
1339.407062,1000,3196.328638
1295.598929,1000,3234.386374
1362.179502,1000,3263.432578
1318.108563,1000,3290.564073
1347.394434,1000,3319.707318
1415.898442,1000,3348.944317
1416.093507,1000,3376.402065
1466.892856,1000,3405.787922
1525.623965,1000,3433.181573
1747.068061,1000,3462.415277
1517.329066,1000,3491.622611
1485.012946,1000,3527.914188
1456.741155,1000,3557.331598
1522.776561,1000,3586.915842
1433.321565,1000,3614.049693
1426.296434,1000,3643.378575
1485.628356,1000,3670.937112
1572.933205,1000,3701.137479
1475.856964,1000,3730.233711
1552.772429,1000,3757.646929
1511.748173,1000,3787.10312
1578.898308,1000,3825.333397
1550.483526,1000,3852.842834
1485.885433,1000,3882.148983
1595.432791,1000,3909.413645
1672.207262,1000,3939.69808
1574.583086,1000,3968.996379
1527.916013,1000,3996.497562
1398.454623,1000,4026.065291
1553.082601,1000,4055.388917
1479.581792,1000,4083.067039
1543.378434,1000,4121.377138
1573.397491,1000,4148.98328
1634.755227,1000,4178.349928
1748.899847,1000,4208.115001
1755.932413,1000,4235.451758
1589.130412,1000,4264.811416
1540.099626,1000,4293.960949
1642.521716,1000,4321.663203
1725.35497,1000,4350.823831
1642.398378,1000,4378.343168
1584.047445,1000,4416.25969
1686.595577,1000,4445.515962
1606.014254,1000,4473.018426
1598.63772,1000,4502.2472
1618.638513,1000,4531.07225
1710.77139,1000,4558.753879
1592.665434,1000,4588.000808
1762.042878,1000,4615.614439
1738.633425,1000,4644.806524
1794.751957,1000,4674.003196
1734.451571,1000,4710.490116
1732.057896,1000,4739.81953
1638.602033,1000,4768.988689
1732.685481,1000,4796.522583
1656.329234,1000,4825.790199
1802.070692,1000,4853.019035
1784.576913,1000,4882.195984
1741.46335,1000,4911.691811
1886.188305,1000,4939.187894
1830.571115,1000,4969.692637
1836.768947,1000,5011.623751
1704.43861,1000,5041.031573
1881.574976,1000,5072.267927
1777.037076,1000,5101.820936
1853.443266,1000,5132.998306
1916.517127,1000,5164.078713
1890.65748,1000,5193.503949
1921.144644,1000,5224.816974
1858.395655,1000,5256.041906
1951.8249,1000,5285.515698
1848.422718,1000,5327.56806
1746.402934,1000,5357.046813
1837.794329,1000,5388.479988
1859.660723,1000,5419.764347
1513.229264,1000,5449.201173
1774.448993,1000,5480.457712
2017.335538,1000,5511.622961
2071.822448,1000,5541.047317
1752.726803,1000,5572.314645
1740.415631,1000,5601.680931
1786.943673,1000,5643.892962
1991.787016,1000,5675.134645
1979.555669,1000,5704.677569
1894.334764,1000,5735.863753
1924.804993,1000,5767.29533
1833.678294,1000,5796.696318
1966.926378,1000,5828.014157
30.907363,1000,5857.168257
1910.367613,1000,5888.478179
1935.320772,1000,5919.566703
1908.073135,1000,5959.569498
1799.559658,1000,5990.885426
1861.543118,1000,6021.996372
1834.170655,1000,6051.454278
1891.741432,1000,6082.537125
1956.775444,1000,6111.851702
1943.574522,1000,6142.998999
1962.903219,1000,6174.174515
1946.535163,1000,6203.426511
1910.28717,1000,6234.631713
2003.66702,1000,6276.594067
2048.993194,1000,6306.04563
1807.203394,1000,6337.228158
2025.034132,1000,6366.692757
1851.362369,1000,6397.775737
2051.582659,1000,6428.946578
2018.921407,1000,6458.289563
1951.093015,1000,6489.468826
2006.388921,1000,6520.470435
2045.164516,1000,6549.897382
2024.937699,1000,6591.739198
1908.848324,1000,6619.111557
2024.950379,1000,6648.381454
2119.885972,1000,6677.545982
1939.818273,1000,6705.244749
2009.602757,1000,6734.382014
2020.422851,1000,6763.653474
1975.984678,1000,6791.094196
1903.968114,1000,6820.275458
2016.885737,1000,6846.834034
1906.796866,1000,6885.848743
2066.460432,1000,6915.082904
1986.970148,1000,6942.650947
2048.710864,1000,6971.790608
2092.820403,1000,7000.998159
2053.366016,1000,7028.444433
2157.884965,1000,7057.541739
2127.613231,1000,7085.074242
1920.881598,1000,7114.220296
2095.402869,1000,7142.371557
2116.402073,1000,7179.919372
2157.554313,1000,7209.100494
2091.540895,1000,7238.213979
1996.128717,1000,7265.826242
2080.44889,1000,7294.905712
2217.499572,1000,7322.441282
2075.611536,1000,7351.555547
2097.282661,1000,7380.765767
2130.808533,1000,7408.255033
2151.874497,1000,7437.532647
2134.551319,1000,7475.423854
2207.207137,1000,7503.047378
2080.052016,1000,7532.365087
2126.461573,1000,7559.965956
2113.100476,1000,7589.161058
2149.562312,1000,7618.443431
2164.24395,1000,7645.946174
2234.700699,1000,7675.196346
2190.191538,1000,7704.253785
2136.064233,1000,7731.760742
1970.934317,1000,7769.646283
1995.694879,1000,7797.166953
2208.787118,1000,7826.388193
2020.83783,1000,7855.683324
2339.298059,1000,7883.145607
2158.161688,1000,7912.365182
2046.541594,1000,7941.572879
2274.830392,1000,7969.091527
2155.384071,1000,7998.209498
2211.856244,1000,8025.703137
2215.288721,1000,8064.753006
2294.603263,1000,8093.089457
2156.348755,1000,8120.583868
2285.365623,1000,8149.79013
2139.310664,1000,8179.170886
2288.797012,1000,8206.959806
2125.575422,1000,8235.999539
2211.388472,1000,8263.483776
2149.088312,1000,8292.506992
2191.585006,1000,8321.816746
2124.131922,1000,8359.086152
2262.530959,1000,8387.924304
2289.909011,1000,8416.489716
2109.548841,1000,8444.018516
2276.006109,1000,8473.166614
2233.315318,1000,8500.756076
2238.106707,1000,8529.8812
2170.295503,1000,8559.102365
2190.438741,1000,8586.579823
2122.917573,1000,8615.724243
2307.462579,1000,8654.645395
2294.434804,1000,8682.249035
2197.678363,1000,8710.335089
2239.418414,1000,8737.794679
2286.926951,1000,8767.076797
2259.959796,1000,8796.220241
2322.426172,1000,8823.777525
2403.780175,1000,8852.908664
2192.96875,1000,8882.284558
2169.047937,1000,8909.962538
2264.948547,1000,8949.089147
2224.895551,1000,8976.626182
2153.045695,1000,9005.91997
2341.434015,1000,9034.461257
2310.321529,1000,9062.268879
2443.101717,1000,9091.531749
2274.126706,1000,9120.857004
2209.645264,1000,9148.38373
2407.760228,1000,9177.764023
2488.622108,1000,9205.352535
2330.879635,1000,9244.43733
2348.118553,1000,9273.712473
2376.556633,1000,9301.385236
2308.146323,1000,9330.060598
2332.723436,1000,9359.066509
2345.787508,1000,9386.659807
2218.221355,1000,9415.978116
2473.266375,1000,9443.550823
2403.699112,1000,9472.804503
2240.639299,1000,9502.056247
2299.435232,1000,9539.611134
2502.852598,1000,9568.827238
2371.993028,1000,9598.126933
2295.919575,1000,9625.705152
2454.239668,1000,9654.058862
2294.295246,1000,9681.714504
2255.510913,1000,9711.084977
2382.041104,1000,9740.286332
2392.532005,1000,9768.026037
2431.85601,1000,9797.227592
2445.392494,1000,9836.312559
2297.172304,1000,9863.832127
2421.612374,1000,9893.235605
2426.015209,1000,9920.78203
2380.860573,1000,9950.185145
2423.748651,1000,9978.441664
2455.070492,1000,10006.105434
2476.374759,1000,10035.338324
2550.25315,1000,10064.999852
2309.702411,1000,10092.492362
2402.788274,1000,10131.615486
2433.493106,1000,10159.203626
2288.262567,1000,10188.65226
2522.272566,1000,10217.820601
2363.257898,1000,10245.441448
2449.496572,1000,10273.845518
2462.528461,1000,10302.943409
2361.800051,1000,10330.593976
2352.159631,1000,10359.968268
2479.779439,1000,10387.595659
2288.627184,1000,10426.865329
2531.461074,1000,10456.231587
2400.174399,1000,10483.931047
2465.349487,1000,10513.181535
2416.523147,1000,10542.649361
2423.091185,1000,10570.227554
2429.789327,1000,10598.61126
2518.57044,1000,10626.368929
2490.921835,1000,10655.614578
2530.937139,1000,10684.952526
2461.26163,1000,10722.549686
2563.51175,1000,10751.856149
2467.512471,1000,10781.379613
2573.631497,1000,10808.858772
2656.311773,1000,10838.238049
2492.025173,1000,10865.992812
2505.996405,1000,10895.326175
2601.92685,1000,10923.920507
2504.515311,1000,10951.623387
2541.355582,1000,10981.0689
2547.975924,1000,11020.233839
2536.930487,1000,11047.869879
2557.476158,1000,11077.162052
2508.069814,1000,11104.907735
2650.207185,1000,11134.275488
2619.196568,1000,11163.811299
2515.114528,1000,11191.648942
2458.019034,1000,11220.230448
2638.493002,1000,11249.397042
2514.579538,1000,11277.230924
2581.676645,1000,11316.389004
2620.84545,1000,11344.208341
2451.794891,1000,11373.534225
2659.840983,1000,11402.951829
2550.75153,1000,11430.544155
2591.525989,1000,11459.947579
2526.950868,1000,11489.311326
2671.071928,1000,11516.978676
2575.112149,1000,11545.398455
2608.974576,1000,11573.180133
2641.347056,1000,11612.243094
2572.304447,1000,11641.760186
2562.154409,1000,11669.663631
2674.16661,1000,11699.349332
2608.30891,1000,11728.782724
2560.160985,1000,11756.658342
2550.69728,1000,11786.320366
2591.832864,1000,11814.231283
2513.819532,1000,11843.779334
2652.929528,1000,11872.448438
2673.90682,1000,11909.992777
2593.055911,1000,11939.652429
2639.820395,1000,11969.246041
2533.008076,1000,11997.157299
2657.512936,1000,12026.584274
2313.955679,1000,12054.41925
2667.729636,1000,12083.87836
2641.94752,1000,12113.448564
2613.010247,1000,12141.196464
2719.851828,1000,12170.158834
2556.669162,1000,12209.194449
2657.417397,1000,12237.07951
2589.495847,1000,12266.610505
2573.483832,1000,12294.489378
2553.37159,1000,12324.012064
2617.093681,1000,12353.532948
2646.58932,1000,12381.372121
2682.436411,1000,12410.97406
2611.431148,1000,12440.519424
2639.857395,1000,12468.305306
2565.101821,1000,12506.677161
2399.605665,1000,12534.740016
2684.66269,1000,12564.373247
2559.386818,1000,12593.975465
2590.749651,1000,12621.798436
2621.513968,1000,12651.537488
2575.474333,1000,12681.126534
2659.066063,1000,12709.062646
2593.4777,1000,12738.666572
2622.489062,1000,12766.578966
2637.831104,1000,12805.466287
2515.128728,1000,12834.832033
2655.835606,1000,12862.677752
2689.253727,1000,12892.332433
2670.047753,1000,12921.891887
2528.362105,1000,12949.72511
2689.333553,1000,12979.397158
2638.308856,1000,13007.386808
2669.939284,1000,13037.22613
2707.736396,1000,13067.02927
2648.276946,1000,13104.95677
2677.83777,1000,13133.709438
2694.187439,1000,13163.286393
2636.911406,1000,13191.213097
2730.815045,1000,13220.790177
2572.78381,1000,13248.824093
2524.862708,1000,13278.5168
2619.263605,1000,13308.185915
2706.001551,1000,13336.048647
2662.158608,1000,13365.697245
2595.612627,1000,13405.086494
2668.587341,1000,13433.080519
2657.396949,1000,13461.814378
2699.469899,1000,13489.847351
2731.947679,1000,13519.4612
2671.052795,1000,13549.220265
2641.797907,1000,13577.111038
2694.172628,1000,13606.931894
2759.874968,1000,13636.542727
2725.756428,1000,13664.528596
2674.047771,1000,13703.916356
2657.350522,1000,13731.966336
2572.466256,1000,13761.633328
2582.606096,1000,13790.42763
2611.10554,1000,13818.384404
2689.883537,1000,13848.140306
2781.933862,1000,13877.826563
2757.943766,1000,13905.98925
2811.445162,1000,13935.703226
2618.821295,1000,13963.747788
2658.068998,1000,14003.227872
2668.785094,1000,14032.944426
2572.1127,1000,14060.844019
2728.317493,1000,14090.24807
2684.553013,1000,14119.708755
2711.610743,1000,14147.842059
2728.630692,1000,14177.556895
2763.608283,1000,14205.717717
2727.041183,1000,14235.418991
2718.671492,1000,14265.27037
2646.442537,1000,14302.888807
2651.761431,1000,14332.738892
2737.564375,1000,14362.594338
2789.972375,1000,14390.703734
2653.407981,1000,14419.646008
2704.911654,1000,14447.814914
2697.248289,1000,14477.60985
2734.062393,1000,14507.482437
2667.788032,1000,14535.537606
2654.402637,1000,14565.622775
2753.651329,1000,14605.230281
2679.476732,1000,14633.408327
2765.691251,1000,14663.363253
2630.284605,1000,14691.659123
2741.649231,1000,14721.568503
2740.175518,1000,14750.64905
