#{"t_start": 1626847338.412826, "env_id": "AntBulletEnv-v0"}
r,l,t
502.696859,1000,1.376473
98.046043,206,1.616524
489.975109,1000,2.813016
113.459319,246,3.101861
483.864999,1000,4.270359
408.058234,859,5.292348
502.951513,1000,6.520334
41.678752,83,6.617131
555.221435,1000,7.846602
519.64579,1000,9.032447
510.671148,1000,10.203541
514.711494,1000,11.36518
479.304692,1000,19.937653
364.047503,801,38.848647
158.269556,369,50.526554
393.050241,1000,85.177223
53.653426,150,89.718577
3.041457,20,89.774399
35.770055,272,100.801811
449.206589,1000,134.124975
393.842971,1000,169.662773
466.205132,1000,205.26079
443.957742,1000,238.661112
172.082948,258,247.45268
481.888496,1000,282.728902
414.163325,1000,315.798139
561.099585,1000,362.401875
248.317935,616,384.245945
502.82443,1000,416.97456
505.454589,1000,451.209959
342.182201,1000,486.639518
471.598362,1000,520.002743
489.552664,1000,555.260991
591.503464,1000,588.484656
481.399733,1000,623.530313
367.447994,1000,658.647302
604.1978,1000,692.005389
721.855892,1000,740.304382
634.957865,1000,775.588259
581.049352,1000,808.599404
557.549944,1000,844.343484
699.728142,1000,877.545161
285.098074,1000,912.619199
600.347147,988,947.857073
545.765918,1000,981.198422
464.133572,1000,1016.334799
688.009624,1000,1049.332
386.568276,1000,1097.437525
632.236618,1000,1132.276874
427.39532,1000,1165.269491
497.526067,1000,1200.422213
738.071851,1000,1235.586641
376.67283,1000,1268.757118
692.733304,1000,1303.7853
664.263167,1000,1336.8956
479.151845,1000,1371.86131
486.589481,1000,1407.013512
443.464864,1000,1452.904459
505.670621,1000,1488.278321
574.825667,1000,1522.235424
448.288145,880,1550.857462
638.282673,1000,1585.960548
557.856813,1000,1621.044762
658.939094,1000,1654.073287
632.091161,1000,1689.222189
722.235181,1000,1722.286567
652.425433,1000,1757.30741
811.00165,1000,1805.788914
541.155611,1000,1838.996336
542.43939,1000,1873.710249
543.450915,1000,1907.478765
58.92517,163,1911.946961
659.386447,1000,1946.801509
648.161806,1000,1979.929351
584.735345,1000,2015.011467
646.872931,1000,2050.27409
690.276171,1000,2083.389281
623.86606,1000,2118.696352
624.021247,1000,2165.62075
427.551587,1000,2201.396612
398.807952,1000,2236.867315
711.957333,1000,2270.418554
574.772051,1000,2306.034737
655.835481,1000,2342.380456
631.073958,1000,2376.55376
447.228116,1000,2412.853853
628.148469,1000,2446.928515
631.823288,1000,2483.26369
652.954367,1000,2532.928043
649.755426,1000,2570.853722
500.160612,1000,2612.33625
609.010534,1000,2651.543822
659.76926,1000,2688.283217
623.340779,1000,2727.65879
562.699388,1000,2764.900983
641.145856,1000,2804.383589
788.507307,1000,2843.433863
738.707356,1000,2880.464593
840.014405,1000,2934.028222
772.550606,1000,2973.389628
708.21386,1000,3010.08932
799.512011,1000,3049.158906
517.77376,1000,3085.955161
657.222617,1000,3125.050331
702.439978,1000,3164.530104
737.083315,1000,3201.480089
533.611044,1000,3240.609719
769.291101,1000,3279.7127
728.94074,1000,3331.549683
816.443196,1000,3370.937381
603.735168,1000,3407.952348
663.695724,1000,3447.077859
586.503743,1000,3486.344616
828.88178,1000,3523.374855
450.519343,1000,3562.798743
682.985586,1000,3601.992918
828.630207,1000,3639.061301
494.897683,1000,3678.520042
629.728202,1000,3730.15507
681.818283,1000,3769.429141
577.0059,1000,3808.67489
557.170081,1000,3845.627172
677.86756,1000,3884.824724
433.900044,1000,3924.403895
703.43878,1000,3961.457186
683.277196,1000,4000.764317
674.394499,1000,4038.141808
763.761228,1000,4077.576895
791.364801,1000,4128.314651
569.869756,1000,4162.991859
803.264232,1000,4199.459865
784.778498,1000,4236.111526
646.086736,1000,4270.823779
878.168976,1000,4307.297461
745.241258,1000,4342.166229
749.354259,1000,4378.695858
564.680466,1000,4415.539787
610.318103,1000,4450.011785
484.741218,1000,4499.663069
751.765667,1000,4536.389146
887.786197,1000,4571.146364
795.234697,1000,4607.752584
817.577983,1000,4642.12503
581.980552,1000,4678.819443
776.725395,1000,4715.360843
836.959713,1000,4749.969858
840.620515,1000,4787.366817
718.092938,1000,4823.947402
820.937825,1000,4871.506751
702.725265,1000,4908.252621
790.343843,1000,4942.873361
835.872187,1000,4979.516697
752.690205,1000,5015.789798
380.166242,1000,5050.346916
877.908677,1000,5086.786541
910.143325,1000,5123.307943
702.064325,1000,5157.713886
726.373,1000,5194.717555
727.721421,1000,5242.71852
575.722698,1000,5279.954998
765.344932,1000,5316.910867
683.945288,1000,5351.635929
448.196102,580,5372.203131
852.924528,1000,5409.498746
753.954855,1000,5445.826436
983.034147,1000,5479.819887
785.707921,1000,5516.907958
710.452734,1000,5554.038126
763.409138,1000,5601.74063
763.585279,1000,5640.384354
676.45999,1000,5677.61198
936.367796,1000,5717.317782
795.465748,1000,5756.795586
788.104781,1000,5793.498808
787.52774,1000,5832.733714
1038.895002,1000,5871.730951
1132.366666,1000,5908.93178
904.9979,1000,5948.148268
920.758076,1000,5999.332983
881.079022,1000,6038.655102
637.305403,1000,6076.423871
773.428361,1000,6110.871721
813.808125,1000,6147.811466
649.328357,1000,6184.472107
733.093106,1000,6219.139361
850.892655,1000,6255.573438
935.79609,1000,6290.309069
802.343733,1000,6326.755566
864.857404,1000,6375.766532
774.841466,1000,6410.015533
1131.456537,1000,6446.568693
869.532052,1000,6483.230357
874.386886,1000,6517.771253
1019.499033,1000,6552.904885
956.770107,1000,6587.173339
739.448399,1000,6623.581101
749.194871,1000,6659.261348
701.882733,1000,6693.902236
617.601634,1000,6743.556398
1050.980861,1000,6779.980851
1057.070071,1000,6815.032768
1058.2002,1000,6851.739624
1111.081217,1000,6885.814856
820.554991,1000,6922.254779
964.52864,1000,6957.75709
983.796204,1000,6992.183526
860.12166,1000,7028.546783
1043.824504,1000,7064.908163
894.595986,1000,7112.59123
994.01887,1000,7149.138701
940.097581,1000,7183.79636
912.559665,1000,7220.781995
679.308627,1000,7257.807041
982.719444,1000,7291.878476
946.159963,1000,7328.614739
1058.320275,1000,7364.015525
1327.799282,1000,7398.533117
1080.063655,1000,7434.589927
842.878766,1000,7481.844835
1310.393682,1000,7518.624244
1076.282826,1000,7555.19013
1268.266387,1000,7590.009802
884.367244,1000,7626.743264
888.430054,1000,7663.146192
971.238508,1000,7697.439708
1259.505681,1000,7733.400694
1277.984356,1000,7767.16726
1469.459375,1000,7803.480456
1505.101154,1000,7852.821666
1022.773159,1000,7887.416044
869.163278,1000,7924.238153
1283.520544,1000,7960.787863
1107.836216,1000,7994.89191
1200.218152,1000,8031.633038
1371.221557,1000,8066.173789
1188.474388,1000,8105.85092
1462.473909,1000,8145.651182
1248.134148,1000,8183.006523
1324.539309,1000,8235.853673
1300.43444,1000,8274.949224
1415.77645,1000,8312.21686
1406.132437,1000,8351.403439
1541.902135,1000,8388.347925
1255.861791,1000,8427.817457
1213.783137,1000,8467.252988
1213.142513,1000,8504.16068
1538.946247,1000,8543.342965
1537.876695,1000,8582.763639
1604.817895,1000,8633.338692
1615.103204,1000,8672.649349
1408.40148,1000,8709.559207
1687.369904,1000,8748.971653
1658.124548,1000,8788.233845
1678.670457,1000,8825.187274
1769.023201,1000,8864.57789
859.26073,1000,8904.017686
1655.159892,1000,8940.857043
1464.973934,1000,8980.567745
1667.855341,1000,9031.35296
1802.235403,1000,9070.66431
1688.017303,1000,9110.536381
1245.39069,1000,9148.083786
1842.431989,1000,9187.768409
1956.498416,1000,9227.530158
1907.377544,1000,9264.963762
1998.107913,1000,9304.545943
1952.968893,1000,9341.624429
1850.53249,1000,9381.763489
1985.688592,1000,9435.035249
1947.124269,1000,9472.216435
1834.13651,1000,9511.784742
1683.620099,1000,9551.541796
2040.55901,1000,9589.059383
1970.304422,1000,9628.5274
1503.868339,1000,9665.820085
2019.248633,1000,9704.831075
694.037456,1000,9744.387263
1615.642371,1000,9781.7637
1881.236552,1000,9834.960874
1698.943849,1000,9874.413935
1885.803098,1000,9911.893509
1642.819566,1000,9951.433658
1999.354024,1000,9988.587574
1184.020655,1000,10027.932212
1796.437889,1000,10067.102056
2064.302272,1000,10103.990799
1970.272413,1000,10143.258323
1883.093171,1000,10182.720521
2093.883442,1000,10228.036906
2066.086991,1000,10264.339674
2140.668537,1000,10298.546247
1910.443533,1000,10334.766283
1880.964414,1000,10371.552289
2090.234529,1000,10405.896784
2025.973155,1000,10442.415888
2117.759618,1000,10478.736161
2078.343651,1000,10512.71728
2087.458794,1000,10549.23384
1985.643613,1000,10594.223272
2040.762621,1000,10630.402113
1959.206385,1000,10666.891166
2154.781578,1000,10701.258677
2106.16931,1000,10737.677601
2158.502175,1000,10773.944137
2133.074239,1000,10808.322964
2164.522485,1000,10844.766509
2112.502358,1000,10878.984027
2076.973414,1000,10915.522723
2216.683363,1000,10962.517504
2140.841762,1000,10996.702565
1910.596921,1000,11033.247641
2080.252602,1000,11069.896929
2138.694151,1000,11104.049253
2208.582164,1000,11140.49809
2082.615382,1000,11174.81939
2062.537792,1000,11211.37178
2211.590112,1000,11247.845083
2145.447828,1000,11282.101913
2036.635399,1000,11328.914361
1976.570466,1000,11365.509053
2154.538356,1000,11399.632641
2177.922254,1000,11436.008178
2143.898943,1000,11470.477258
2119.773214,1000,11506.665174
2182.381142,1000,11543.554984
2249.559803,1000,11577.64791
2256.66303,1000,11613.88879
2205.684455,1000,11650.298665
2231.661896,1000,11695.105459
2267.681289,1000,11731.405508
2158.117961,1000,11765.703913
2133.446865,1000,11801.967332
2340.394577,1000,11838.215345
2318.868101,1000,11872.921872
2208.46116,1000,11909.811133
2269.39721,1000,11946.467419
2184.30301,1000,11980.604718
2218.01803,1000,12017.243358
2313.988292,1000,12061.945636
2214.183759,1000,12098.054129
2257.689507,1000,12134.231699
2295.983571,1000,12168.964099
2294.307176,1000,12205.192566
2338.344675,1000,12241.533003
2417.77437,1000,12275.689051
2194.457993,1000,12312.218788
2396.313156,1000,12346.375922
2382.382765,1000,12382.912436
2440.569824,1000,12429.942388
2317.105029,1000,12463.814843
2392.784131,1000,12500.301093
2270.70462,1000,12536.660868
2321.187036,1000,12570.915938
2294.397389,1000,12607.123337
2364.578173,1000,12641.616113
2433.80572,1000,12678.100389
2412.68693,1000,12714.666187
2306.814247,1000,12749.144482
2438.95724,1000,12796.20894
2298.332319,1000,12832.371392
2466.189862,1000,12866.646667
2403.084218,1000,12902.991884
2497.705651,1000,12937.150791
2359.73685,1000,12973.556647
2501.421391,1000,13009.777458
2356.593557,1000,13043.964925
2513.923067,1000,13080.805758
2394.743905,1000,13117.098209
2304.205698,1000,13162.32631
2478.590677,1000,13198.724453
2483.204418,1000,13232.81033
2462.251118,1000,13269.078137
2528.92471,1000,13305.249168
2469.977128,1000,13339.517632
2113.430604,1000,13375.892641
2506.790865,1000,13412.158934
2507.785652,1000,13446.476309
2543.396861,1000,13483.428378
2508.923342,1000,13530.659202
2575.166287,1000,13567.244438
2528.183581,1000,13604.164366
2449.127155,1000,13638.568641
2527.922872,1000,13675.226434
2568.818572,1000,13712.30082
2557.933376,1000,13746.464609
2455.498043,1000,13782.077287
2599.680158,1000,13816.449516
2495.223321,1000,13852.770679
2454.492409,1000,13901.266495
2669.3908,1000,13935.351719
2574.949544,1000,13971.819558
2649.711532,1000,14007.909377
2596.941742,1000,14042.341269
2588.236557,1000,14079.192078
2592.58662,1000,14113.896466
2606.994411,1000,14151.120803
2569.171567,1000,14188.293259
2560.522135,1000,14223.07939
2617.388049,1000,14272.38323
2594.052121,1000,14309.744697
2533.325985,1000,14345.128552
2652.459121,1000,14382.150892
2656.484382,1000,14417.13517
2659.481486,1000,14454.385843
2530.022549,1000,14490.80543
2600.494527,1000,14525.5062
2629.330926,1000,14562.785966
2568.707034,1000,14600.335675
2638.32471,1000,14647.991718
2668.920233,1000,14685.096076
2519.49402,1000,14719.754905
2637.433023,1000,14756.900924
2635.649888,1000,14794.124612
2574.551114,1000,14829.085695
2534.735791,1000,14865.261557
2487.193851,1000,14902.24081
2545.574137,1000,14936.95626
2651.407541,1000,14973.93088
2529.55202,1000,15021.353691
2644.962075,1000,15058.369826
2659.817926,1000,15095.333232
2648.631484,1000,15130.136299
2578.609667,1000,15167.035103
2680.852669,1000,15204.124272
2689.953212,1000,15239.375467
2708.121136,1000,15275.377282
2657.836834,1000,15310.1528
2573.202512,1000,15347.04012
2650.135556,1000,15396.134279
2619.255534,1000,15430.763782
2623.393724,1000,15467.802164
2568.268132,1000,15504.536922
2621.365169,1000,15542.062754
2774.643709,1000,15581.712953
2724.110201,1000,15619.260163
2643.322252,1000,15659.11212
2514.165391,1000,15698.663764
2673.475438,1000,15736.21217
2665.827759,1000,15789.282518
2664.241361,1000,15828.961893
2689.454145,1000,15866.478948
2606.664812,1000,15906.708455
2663.436302,1000,15944.190099
2657.855837,1000,15984.11358
2702.749371,1000,16023.683619
2754.034652,1000,16061.454505
2678.956023,1000,16100.727559
2750.440683,1000,16140.602932
2778.647249,1000,16191.573531
2575.408169,1000,16231.444454
2691.974055,1000,16268.874551
2621.282643,1000,16308.525901
2643.065972,1000,16345.624992
2727.730273,1000,16380.299101
2671.38988,1000,16417.214798
2825.35308,1000,16452.59383
2676.99735,1000,16487.022987
2641.066926,1000,16523.963078
2700.009942,1000,16571.146523
2807.685261,1000,16608.0301
2654.469398,1000,16644.888377
2679.739967,1000,16679.530622
2756.361259,1000,16716.128
2751.151642,1000,16752.346483
2656.485227,1000,16786.931306
2740.713538,1000,16822.470773
2708.293187,1000,16857.026084
2641.14716,1000,16893.925854
2710.172633,1000,16942.828719
2807.776344,1000,16977.615598
2675.128728,1000,17014.87978
2759.851511,1000,17052.2637
2672.13332,1000,17087.26389
2769.680907,1000,17124.17048
2729.557027,1000,17159.0978
2693.01642,1000,17194.962933
2755.53625,1000,17231.915962
2781.052827,1000,17266.879688
2727.614775,1000,17316.531037
2783.77074,1000,17353.778083
2716.87437,1000,17388.775821
2758.592117,1000,17425.851805
2717.576319,1000,17460.919321
2605.901208,1000,17497.791011
2766.259762,1000,17535.108285
2784.361557,1000,17568.867785
2784.433566,1000,17605.726913
2705.469135,1000,17642.258605
2748.539868,1000,17689.506518
2787.972886,1000,17726.521734
2831.359604,1000,17761.450459
2786.751138,1000,17798.498747
2726.165052,1000,17835.710341
2743.984618,1000,17870.438948
2828.636474,1000,17907.756233
2817.639947,1000,17943.788223
2894.649437,1000,17978.936145
2811.509965,1000,18016.102096
2896.498832,1000,18063.257769
2835.135174,1000,18100.543484
2739.178007,1000,18137.465404
2750.186428,1000,18171.967159
2753.215428,1000,18209.055041
2711.5483,1000,18245.944051
2791.140482,1000,18280.661938
2845.261066,1000,18316.217459
2899.830996,1000,18350.727248
2773.822148,1000,18387.77599
2781.973434,1000,18436.668527
2850.975029,1000,18471.529856
2908.987571,1000,18508.057413
2886.368162,1000,18544.990879
2930.951568,1000,18579.643796
2703.084058,1000,18616.488554
